"fromNode"	"toNode"	"weight"	"direction"	"fromAltName"	"toAltName"
"193"	"SBF1.6"	"SBF1.28"	0.0653582697757566	NA	"SBF1"	"SBF1"
"194"	"SBF1.6"	"SBF1.29"	0.0381132333831746	NA	"SBF1"	"SBF1"
"195"	"SBF1.6"	"SBF1.30"	0.0597245843358066	NA	"SBF1"	"SBF1"
"196"	"SBF1.6"	"SBF1.31"	0.0411962553647717	NA	"SBF1"	"SBF1"
"197"	"SBF1.7"	"SBF1.8"	0.0247128454842894	NA	"SBF1"	"SBF1"
"198"	"SBF1.7"	"SBF1.9"	0.0312330242791785	NA	"SBF1"	"SBF1"
"199"	"SBF1.7"	"SBF1.10"	0.0553442299497382	NA	"SBF1"	"SBF1"
"200"	"SBF1.7"	"SBF1.11"	0.0365232314484038	NA	"SBF1"	"SBF1"
"201"	"SBF1.7"	"SBF1.12"	0.0304485552394021	NA	"SBF1"	"SBF1"
"202"	"SBF1.7"	"SBF1.13"	0.041502094044028	NA	"SBF1"	"SBF1"
"203"	"SBF1.7"	"SBF1.14"	0.0497414507418279	NA	"SBF1"	"SBF1"
"204"	"SBF1.7"	"SBF1.15"	0.0265988615535864	NA	"SBF1"	"SBF1"
"205"	"SBF1.7"	"SBF1.16"	0.0430970369312492	NA	"SBF1"	"SBF1"
"206"	"SBF1.7"	"SBF1.17"	0.0382087206186328	NA	"SBF1"	"SBF1"
"207"	"SBF1.7"	"SBF1.18"	0.022789173089412	NA	"SBF1"	"SBF1"
"208"	"SBF1.7"	"SBF1.19"	0.0424525645716063	NA	"SBF1"	"SBF1"
"209"	"SBF1.7"	"SBF1.20"	0.0428587870218203	NA	"SBF1"	"SBF1"
"210"	"SBF1.7"	"SBF1.21"	0.0360392466603581	NA	"SBF1"	"SBF1"
"211"	"SBF1.7"	"SBF1.22"	0.0276194847214769	NA	"SBF1"	"SBF1"
"212"	"SBF1.7"	"SBF1.23"	0.0238292778937548	NA	"SBF1"	"SBF1"
"213"	"SBF1.7"	"SBF1.24"	0.0257480410960808	NA	"SBF1"	"SBF1"
"214"	"SBF1.7"	"SBF1.26"	0.0425335413905632	NA	"SBF1"	"SBF1"
"215"	"SBF1.7"	"SBF1.27"	0.0301761363824085	NA	"SBF1"	"SBF1"
"216"	"SBF1.7"	"SBF1.28"	0.0316330140585788	NA	"SBF1"	"SBF1"
"217"	"SBF1.7"	"SBF1.29"	0.0212070599980133	NA	"SBF1"	"SBF1"
"218"	"SBF1.7"	"SBF1.30"	0.0299488467893942	NA	"SBF1"	"SBF1"
"219"	"SBF1.7"	"SBF1.31"	0.0202785085599727	NA	"SBF1"	"SBF1"
"220"	"SBF1.8"	"SBF1.9"	0.0429368072651069	NA	"SBF1"	"SBF1"
"221"	"SBF1.8"	"SBF1.10"	0.0450524309310305	NA	"SBF1"	"SBF1"
"222"	"SBF1.8"	"SBF1.11"	0.106841259931434	NA	"SBF1"	"SBF1"
"223"	"SBF1.8"	"SBF1.12"	0.116898519382199	NA	"SBF1"	"SBF1"
"224"	"SBF1.8"	"SBF1.13"	0.141022642064627	NA	"SBF1"	"SBF1"
"225"	"SBF1.8"	"SBF1.14"	0.120467916016995	NA	"SBF1"	"SBF1"
"226"	"SBF1.8"	"SBF1.15"	0.103249356847113	NA	"SBF1"	"SBF1"
"227"	"SBF1.8"	"SBF1.16"	0.082542352522449	NA	"SBF1"	"SBF1"
